url,status_code,js_rendered,page_type,schema_types_found,schema_count,primary_schema_type,schema_completeness_score,missing_required_properties,validation_errors,has_faq,has_reviews,has_product_data,recommended_schemas,recommendation_priority
https://www.efax.com/blog/healthcare-evolution-of-digital-fax,200,True,Blog/Article,"WebPage, Person, Organization, BreadcrumbList, Article, ImageObject, WebSite",7,Article,100,,0,False,True,False,,
https://www.efax.com/blog/fax-server,200,True,FAQ,"WebPage, Person, Organization, FAQPage, BreadcrumbList, Article, ImageObject, WebSite",8,Article,100,,0,True,False,False,,
https://www.efax.com/blog/walgreens-fax,200,True,Blog/Article,"WebPage, Person, Organization, FAQPage, BreadcrumbList, Article, ImageObject, WebSite",8,Article,100,,0,False,False,False,,
https://www.efax.com/blog/the-evolution-of-fax,200,True,Blog/Article,"WebPage, Person, Organization, BreadcrumbList, Article, ImageObject, WebSite",7,Article,100,,0,False,False,False,,
https://www.efax.com/blog/law-firm-compliance,200,True,Blog/Article,"WebPage, Person, Organization, FAQPage, BreadcrumbList, Article, ImageObject, WebSite",8,Article,100,,0,False,False,False,,
https://www.efax.com/blog/benefits-of-online-fax-services-for-healthcare,200,True,Blog/Article,"WebPage, Person, Organization, BreadcrumbList, Article, ImageObject, WebSite",7,Article,100,,0,False,False,False,,
https://www.efax.com/blog/j2-global-to-spin-off-cloud-fax-and-consensus-as-new-public-company,200,True,Blog/Article,"WebPage, Person, Organization, BreadcrumbList, Article, ImageObject, WebSite",7,Article,100,,0,False,True,False,,
https://www.efax.com/blog/efax-corporate-now-available-to-millions-of-verizon-business-customers-across-north-america,200,True,Blog/Article,"WebPage, Person, Organization, BreadcrumbList, Article, ImageObject, WebSite",7,Article,100,,0,False,True,False,,
https://www.efax.com/blog/5-reasons-why-efax-corporate-is-a-game-changer-across-all-industries-part-four-its-secure,200,True,Blog/Article,"WebPage, Person, Organization, BreadcrumbList, Article, ImageObject, WebSite",7,Article,100,,0,False,False,False,,
https://www.efax.com/blog/why-hitrust-csf-certification-should-factor-into-your-selection-of-a-cloud-fax-provider,200,True,Blog/Article,"WebPage, Person, Organization, BreadcrumbList, Article, ImageObject, WebSite",7,Article,100,,0,False,True,False,,
https://www.efax.com/blog/cloud-adoption-2025,200,True,Blog/Article,"WebPage, Person, Organization, BreadcrumbList, Article, ImageObject, WebSite",7,Article,100,,0,False,True,False,,
